company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,country
Bondora,1944174.0,Bondora,51-200 funcionários,1.0,"Tallinn, Harjumaa",Serviços financeiros,,https://www.linkedin.com/company/1944174/about/,"Peer-to-peer lending, Attractive investment returns, Appropriate investment risks, Social lending, Unsecured loans, Personalized monthly payments, Peer lending, Marketplace lending, crowdfunding, p2p lending, investing, Investment platform, fintech, peer-to-peer investing, investment e invest",NF,https://www.bondora.com,Estonia
Lendio,1910768.0,Lendio,201-500 funcionários,1.0,"Lehi, UT",Serviços financeiros,8.0,https://www.linkedin.com/company/1910768/about/,"Small Business Loans, Business Loans, Technology, Internet Marketing e Bank Marketing",61,https://www.lendio.com,United States
LendingClub,42519.0,LendingClub,1.001-5.000 funcionários,1.0,"San Francisco, California",Internet,21.0,https://www.linkedin.com/company/42519/about/,"Personal Loans, Investing, Peer-to-Peer Lending, Patient Financing, Marketplace Lending, Business Loans e Education Financing",49,http://www.lendingclub.com,United States
Seedrs,397364.0,Seedrs,51-200 funcionários,1.0,,Serviços financeiros,,https://www.linkedin.com/company/397364/about/,"equity crowdfunding, online investing, alternative finance, investing in startups, seed investing, angel investing, eis, seis, crowdfunding e venture capital",5,http://www.seedrs.com,not found
"Kabbage, Inc",262721.0,Kabbage,201-500 funcionários,1.0,"Atlanta, Georgia",Serviços financeiros,13.0,https://www.linkedin.com/company/262721/about/,"Finance, Small Business Loans, Working Capital Loans, Growth Capital Loans, Small Business Financing e Small Business Line Of Credit",19,http://www.kabbage.com,United States
Luandre RH - Soluções em Recursos Humanos,934974.0,Lu.com,201-500 funcionários,1.0,"São Paulo, SP",Recursos humanos,,https://www.linkedin.com/company/934974/about/,"Recrutamento e Seleção, Administração de Pessoal (Temporários e CLT), Programas Especiais, Outsourcing, Avaliação Profissional - Avaliação Psicológica e Assessment, RPO e Recolocação Profissional",5,http://www.luandre.com.br,Brazil
MarketFinance,29328131.0,Market Finance,51-200 funcionários,1.0,"London, Shoreditch",Serviços financeiros,,https://www.linkedin.com/company/29328131/about/,,40,http://www.marketfinance.com,United Kingdom
Crowdfunder UK,2343432.0,Crowdfunder,11-50 funcionários,1.0,"London, London",Arrecadação de recursos,,https://www.linkedin.com/company/2343432/about/,"Fundraising, Business, Community, Crowdfunding, Community Shares, Grants, Funds e Community",2,http://www.crowdfunder.co.uk,United Kingdom
Crowdcube,1114644.0,Crowdcube,51-200 funcionários,1.0,"London, London",Capital de risco e participações privadas,,https://www.linkedin.com/company/1114644/about/,Helping entrepreneurs raise money to grow their businesses e Giving ordinary people the chance to invest in great British businesses,2,http://www.crowdcube.com,United Kingdom
BlueVine,4989275.0,BlueVine,201-500 funcionários,1.0,"Redwood City, California",Serviços financeiros,8.0,https://www.linkedin.com/company/4989275/about/,"Small businesses, Working capital financing, Invoice Financing, Business Line of Credit, Term Loan, Business Checking Account e Small Business Banking",43,http://www.bluevine.com,United States
RateSetter,1278801.0,RateSetter,201-500 funcionários,1.0,"London, London",Serviços financeiros,,https://www.linkedin.com/company/1278801/about/,Consumer loans e Financial services,5,http://www.ratesetter.com,United Kingdom
