id,company,post_title,post_date,post_text,post_likes,post_comments,post_video_views,post_hashtags,origin,,,
207,dextra-digital,,2020-10-02,"Falta apenas uma semana pro grande evento!E você, já se inscreveu? Corre pro site e garanta seu lugar no DevCamp Live. Acesse: https://lnkd.in/eedwGAYAproveita pra marcar aqui nos comentários aquele seu amigo que também é apaixonado por tecnologia e não pode perder!De uma coisa a gente tem certeza: VAI SER ÉPICO! 🤩#DevCampLive'",41,5,0,#DevCampLive',linkedin,,,
208,dextra-digital,,2020-10-02,O segundo dia de DevCamp Live já tá no ar!Bora?! www.devcamp.com.br',27,0,0,,linkedin,,,
210,dextra-digital,,2020-10-02,O último dia de DevCamp Live TÁ NO AR!Vem com a gente que é sucesso: www.devcamp.com.br',19,0,0,,linkedin,,,
216,dextra-digital,,2020-10-02,"A espera tá chegando ao fim! Faltam só 5 dias pro grande evento 😱Se você não se inscreveu, corre que ainda dá tempo!!Veja toda a programação e garanta já seu lugar no DevCamp Live: https://lnkd.in/d4FtSnT#DevCampLive'",36,1,0,#DevCampLive',linkedin,,,
217,dextra-digital,,2020-10-02,"Além de ver palestras incríveis que vão muito Além do Código, participando  do terceiro dia do DevCamp Live você pode concorrer a um Kindle Paperwhite!Agora ficou ainda melhor, né?Então se você ainda não tá inscrito, corre pro nosso site: https://www.devcamp.com.br#DevCampLive'",25,0,0,#DevCampLive',linkedin,,,
28,ciandt,,2020-10-20,"As inscrições para o Afrodev já começaram! A CI&T, em parceria com a Share RH, promovem o programa que capacita e qualifica pessoas pretas para oportunidades na área de tecnologia. A inovação e a transformação só acontecem em ambientes diversos de trabalho, onde pessoas de diferentes origens, contextos e experiências compartilham e potencializam suas ideias. Quer fazer parte desse movimento? Inscreva-se gratuitamente: https://lnkd.in/evbbXdr'",80,5,0,,linkedin,,,
52,ciandt,,2020-10-20,"Convidamos nossas pessoas para contar como foi participar da iniciativa de contratação em parceria com a ONG Laboratoria, que promove a formação de mulheres na tecnologia para a construção de ambientes mais diversos e inclusivos.#weareciandt'",137,9,3350,#weareciandt',linkedin,,,
54,ciandt,,2020-10-20,"Em 25 anos de trajetória, cada uma de nossas pessoas foi responsável pela construção das histórias e do nosso poder transformador que impacta o mundo. Nossas pessoas nos permitem ir mais longe, construir sonhos e são também a inspiração para sermos cada vez melhor. Hoje, por elas e para elas, atingimos uma nova conquista: somos um Great Place to Work pela 14ª vez consecutiva!#weareciandt'",368,8,10702,#weareciandt',linkedin,,,
60,ciandt,,2020-10-20,"Nosso CEO, Cesar Gon, em participação especial no Cielo Digitalks conversa com Danilo Zimmermann, Head de Tecnologia e Projetos, sobre a importância da transformação digital e como reagir às mudanças.'",103,0,1591,,linkedin,,,
91,ciandt,,2020-10-20,"Neste momento em que o mercado digital exige resultados imediatos, profissionais e companhias precisam de menos planejamento e mais ação. “Aprenda fazendo” para criar estratégias efetivas e entregar respostas rápidas. #aprenderfazendo #learnbydoing #agilidadedigital'",80,0,0,"#aprenderfazendo, #learnbydoing, #agilidadedigital'",linkedin,,,
93,ciandt,,2020-10-20,"Nesse episódio do CI&T Podcast, Silvio Meira, board member da CI&T, conversa com Cesar Gon, nosso CEO, e Carlos Alberto de Sousa, Membro do Corporate Hackers, sobre como as empresas podem aproveitar os espaços empreendedores que surgiram diante da aceleração do futuro e reorientar seus negócios.'",53,0,0,,linkedin,,,
94,ciandt,,2020-10-20,"Join now the webinar with our co-founders, CEO Cesar Gon and President Bruno Guicardi, about Lean Digital Operations and leadership development. They will be joined by John Shook, senior advisor of Lean Institute, for a group discussion moderated by our Chief Strategy Officer Bob Wollheim. https://midi.as/jp63'",14,0,0,,linkedin,,,
95,ciandt,,2020-10-20,"Join now the webinar with our co-founders, CEO Cesar Gon and President Bruno Guicardi, about Lean Digital Operations and leadership development. They will be joined by John Shook, senior advisor of Lean Institute, for a group discussion moderated by our Chief Strategy Officer Bob Wollheim.'",36,0,0,,linkedin,,,
97,ciandt,,2020-10-20,"Transformação, agilidade, impacto e protagonismo são palavras de ordem para as carreiras na era digital. Entenda qual é o seu papel na construção da sua evolução profissional.#mindsetdeprotagonismo #eradigital #desenvolvimento'",73,1,0,"#mindsetdeprotagonismo, #eradigital, #desenvolvimento'",linkedin,,,
109,ciandt,,2020-10-20,"Para alavancar sua carreira de desenvolvimento para liderança técnica em arquitetura de sistemas, você precisará aprender diversas novas habilidades, como estimular e inspirar colegas em busca do melhor e liderar de uma forma empática e colaborativa. Veja algumas dicas para desenvolver e equilibrar seus lados técnico e líder no artigo de nosso Systems Architect & Disciplined Agilist, Adriano Tavares. #liderança #desenvolvedor #arquitetodesistemas #evoluçãodecarreira'",80,2,0,"#liderança, #desenvolvedor, #arquitetodesistemas, #evoluçãodecarreira'",linkedin,,,
135,ciandt,,2020-10-20,"A CI&T vai apresentar sua experiência em inovação focada em Fast Moving Consumer Goods (FMCG) no evento SpringBoard, realizado pelo Consumer Goods \'Forum. Nesta edição, o ""The Frog Event Time for Data"" será um ambiente virtual 3D onde os participantes podem se encontrar e trocar as melhores práticas com os tomadores de decisão no mundo dos bens de consumo. Saiba mais: https://midi.as/P673'",50,0,0,,linkedin,,,
