company_found,company_id,company_searched,employees,found,headquarters,industry,it_eng_jobs,linkedin,specialties,total_jobs,website,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16
"AmTrust Financial Services, Inc.",503757.0,"AmTrust Financial Services, Inc.",5.001-10.000 funcionários,True,"New York, NY",Seguros,15.0,https://www.linkedin.com/company/503757/about/,"Property and Casualty Insurance, Workers'​ Compensation Insurance, Commercial Package Insurance e Specialty Risk and Extended Warranty Insurance",88,https://AmTrustFinancial.com,,,,,
Amtsgericht,6864617.0,Amtsgericht Charlottenburg,NF,True,NF,Relações públicas e comunicações,0.0,https://www.linkedin.com/company/6864617/about/,NF,0,http://ag.justiz.hamburg.de,,,,,
,,An industrial and construction company,,False,,,,,,,,,,,,
ANB Bank,2338684.0,ANB Bank,501-1.000 funcionários,True,"Denver, Colorado",Bancos,0.0,https://www.linkedin.com/company/2338684/about/,"Business Banking, Business Loans, Consumer Loans, Consumer Banking, Investment Management and Trust, Free Checking, Merchant Services, Business Free Checking, Credit Cards e Free Debit Cards",0,http://www.anbbank.com,,,,,
,,Andréa Schmitt Locações,,False,,,,,,,,,,,,
ANDRITZ,11370.0,ANDRITZ,+ de 10.001 funcionários,True,"Graz, Styria",Maquinário,0.0,https://www.linkedin.com/company/11370/about/,"Hydro, Pulp & Paper, Metals, Separation, Automation, Pumps, Feed and Biofuel, Nonwoven and Textile, Recycling, Environmental solutions, Marine/Offshore, Panelboard, Thermal power e Wedge wire and perforation",0,https://www.andritz.com,,,,,
,,Anechomai Ltda,,False,,,,,,,,,,,,
Anewgo,34957071.0,Anewgo,51-200 funcionários,True,"Holly Springs, NC",Software,0.0,https://www.linkedin.com/company/34957071/about/,NF,0,https://anewgosell.com,,,,,
Anheuser-Busch InBev,255188.0,Anheuser-Busch InBev,+ de 10.001 funcionários,True,NF,Bens de consumo,0.0,https://www.linkedin.com/company/255188/about/,"Beer production and sales, premium drinks, marketing, innovation, sustainability, social responsibility, brand management, beer, beverages, consumer goods e e-commerce",0,http://www.ab-inbev.com/,,,,,
Ânima Educação,892822.0,Ânima Educação,5.001-10.000 funcionários,True,"São Paulo, SP",Gestão educacional,0.0,https://www.linkedin.com/company/892822/about/,"educação, ensino superior, graduação, pós-graduação e qualidade",0,http://www.animaeducacao.com.br,,,,,
